slug	file	source_page	source_image	sort
pult-upravleniya-pu-pk-ms-700t	pult-upravleniya-pu-pk-ms-700t-01.jpg	https://pkftechno.ru/products/pult-upravleniya-pu-pk-ms-700t	https://static.tildacdn.com/tild3063-6639-4633-a433-636133666265/43___-700-min.jpg	10
pult-upravleniya-pu-pk-ms-700t	pult-upravleniya-pu-pk-ms-700t-02.jpg	https://pkftechno.ru/products/pult-upravleniya-pu-pk-ms-700t	https://static.tildacdn.com/tild3162-3130-4362-a635-653339363639/43___-700-min.jpg	20
pult-upravleniya-pu-zk-ms-700t	pult-upravleniya-pu-zk-ms-700t-01.jpg	https://pkftechno.ru/products/pult-upravleniya-pu-zk-ms-700t	https://static.tildacdn.com/tild3831-3435-4963-a134-306263613261/44___-700_-min_1.jpg	10
pult-upravleniya-pu-zk-ms-700t	pult-upravleniya-pu-zk-ms-700t-02.jpg	https://pkftechno.ru/products/pult-upravleniya-pu-zk-ms-700t	https://static.tildacdn.com/tild6433-6633-4966-b832-343337313764/44___-700_-min.jpg	20
pult-upravleniya-pu-zk-ms-700t	pult-upravleniya-pu-zk-ms-700t-03.jpg	https://pkftechno.ru/products/pult-upravleniya-pu-zk-ms-700t	https://static.tildacdn.com/tild3264-3431-4566-a534-393832303530/44___-700_-min.jpg	30
pult-upravleniya-pu-zk-ms-700t	pult-upravleniya-pu-zk-ms-700t-04.jpg	https://pkftechno.ru/products/pult-upravleniya-pu-zk-ms-700t	https://static.tildacdn.com/tild3735-3035-4535-b835-396361616434/44___-700_-min.jpg	40
shkaf-raspredeleniya-pitaniya-shrp1-ms-700t	shkaf-raspredeleniya-pitaniya-shrp1-ms-700t-01.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp1-ms-700t	https://static.tildacdn.com/tild6461-3833-4766-b639-306635346431/45_1_-700-min.jpg	10
shkaf-raspredeleniya-pitaniya-shrp1-ms-700t	shkaf-raspredeleniya-pitaniya-shrp1-ms-700t-02.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp1-ms-700t	https://static.tildacdn.com/tild6237-3639-4232-a531-303662353038/45-min.jpg	20
shkaf-raspredeleniya-pitaniya-shrp1-ms-700t	shkaf-raspredeleniya-pitaniya-shrp1-ms-700t-03.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp1-ms-700t	https://static.tildacdn.com/tild6436-3465-4666-b132-356238623065/45_1_-700-min.jpg	30
shkaf-raspredeleniya-pitaniya-shrp2-ms-700t	shkaf-raspredeleniya-pitaniya-shrp2-ms-700t-01.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp2-ms-700t	https://static.tildacdn.com/tild6534-6366-4130-a138-663439623462/46_2_-700-min.jpg	10
shkaf-raspredeleniya-pitaniya-shrp2-ms-700t	shkaf-raspredeleniya-pitaniya-shrp2-ms-700t-02.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp2-ms-700t	https://static.tildacdn.com/tild6531-3366-4161-b739-343264613638/46-min.jpg	20
shkaf-raspredeleniya-pitaniya-shrp2-ms-700t	shkaf-raspredeleniya-pitaniya-shrp2-ms-700t-03.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp2-ms-700t	https://static.tildacdn.com/tild6133-6331-4630-a331-333031383430/46_2_-700-min.jpg	30
shkaf-raspredeleniya-pitaniya-shrp3-ms-700t	shkaf-raspredeleniya-pitaniya-shrp3-ms-700t-01.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp3-ms-700t	https://static.tildacdn.com/tild6262-3166-4363-b135-346366646236/47_3_-700-min_1.jpg	10
shkaf-raspredeleniya-pitaniya-shrp3-ms-700t	shkaf-raspredeleniya-pitaniya-shrp3-ms-700t-02.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp3-ms-700t	https://static.tildacdn.com/tild3734-3065-4838-b336-376535663033/47_3_-700-min.jpg	20
shkaf-raspredeleniya-pitaniya-shrp3-ms-700t	shkaf-raspredeleniya-pitaniya-shrp3-ms-700t-03.jpg	https://pkftechno.ru/products/shkaf-raspredeleniya-pitaniya-shrp3-ms-700t	https://static.tildacdn.com/tild6664-3162-4430-b932-303831336164/47_3_-700-min_1.jpg	30
